specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_u,sigma_10,n_prime,section_type,b,h,t,L,Le,boundary_condition,w_0,w_e,w_total,N_u,failure_mode,buckling_axis
afshan2013_01,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,472,451,3.1,RHS,79.9,120.0,2.87,1077,1077,pin-pin,0.95,0.00,0.95,463,,
afshan2013_02,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,472,451,3.1,RHS,79.9,120.0,2.81,1577,1577,pin-pin,0.96,0.09,1.05,382,,
afshan2013_03,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,472,451,3.1,RHS,79.8,120.0,2.78,2077,2077,pin-pin,1.05,0.33,1.38,391,,
afshan2013_04,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,472,451,3.1,RHS,79.8,119.7,2.73,2577,2577,pin-pin,1.10,0.62,1.72,308,,
afshan2013_05,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,475,3.3,RHS,39.9,59.9,2.79,1177,1177,pin-pin,1.12,0.00,1.12,103,,
afshan2013_06,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,475,3.3,RHS,39.8,59.9,2.72,1577,1577,pin-pin,1.09,0.00,1.09,72,,
afshan2013_07,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,475,3.3,RHS,39.9,59.9,2.79,2077,2077,pin-pin,1.05,0.33,1.38,51,,
afshan2013_08,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,475,3.3,RHS,39.9,59.9,2.76,2577,2577,pin-pin,0.95,0.77,1.72,30,,
afshan2013_09,afshan2013,afshan2013_C,experimental,1.4003,ferritic,cold_formed,211250,404,6.3,measured,447,456,2.6,SHS,80.0,80.1,2.79,1577,1577,pin-pin,1.15,0.00,1.15,273,,
afshan2013_10,afshan2013,afshan2013_C,experimental,1.4003,ferritic,cold_formed,211250,404,6.3,measured,447,456,2.6,SHS,79.8,80.0,2.79,2077,2077,pin-pin,1.05,0.33,1.38,222,,
afshan2013_11,afshan2013,afshan2013_C,experimental,1.4003,ferritic,cold_formed,211250,404,6.3,measured,447,456,2.6,SHS,79.8,80.1,2.78,2577,2577,pin-pin,1.05,0.67,1.72,164,,
afshan2013_12,afshan2013,afshan2013_D,experimental,1.4509,ferritic,cold_formed,215130,483,6.3,measured,534,531,3.1,SHS,60.4,60.4,2.85,1177,1177,pin-pin,1.25,0.00,1.25,214,,
afshan2013_13,afshan2013,afshan2013_D,experimental,1.4509,ferritic,cold_formed,215130,483,6.3,measured,534,531,3.1,SHS,60.5,60.6,2.82,1577,1577,pin-pin,1.15,0.00,1.15,166,,
afshan2013_14,afshan2013,afshan2013_D,experimental,1.4509,ferritic,cold_formed,215130,483,6.3,measured,534,531,3.1,SHS,60.4,60.5,2.86,2077,2077,pin-pin,1.10,0.28,1.38,116,,
afshan2013_15,afshan2013,afshan2013_D,experimental,1.4509,ferritic,cold_formed,215130,483,6.3,measured,534,531,3.1,SHS,60.6,60.6,2.91,2577,2577,pin-pin,1.15,0.57,1.72,82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,